0.00,100.00,42.76;20.00,100.00,42.76
40.00,100.00,42.76;60.00,100.00,42.76
80.00,100.00,42.76;100.00,100.00,42.76
0.00,100.00,42.76;0.00,0.00,42.76
20.00,100.00,42.76;20.00,20.00,42.76
40.00,100.00,42.76;40.00,20.00,42.76
60.00,100.00,42.76;60.00,20.00,42.76
80.00,100.00,42.76;80.00,20.00,42.76
100.00,100.00,42.76;100.00,0.00,42.76
20.00,20.00,42.76;40.00,20.00,42.76
60.00,20.00,42.76;80.00,20.00,42.76
0.00,0.00,42.76;100.00,0.00,42.76
0.00,100.00,0.00;20.00,100.00,0.00
40.00,100.00,0.00;60.00,100.00,0.00
80.00,100.00,0.00;100.00,100.00,0.00
0.00,100.00,0.00;0.00,0.00,0.00
20.00,100.00,0.00;20.00,20.00,0.00
40.00,100.00,0.00;40.00,20.00,0.00
60.00,100.00,0.00;60.00,20.00,0.00
80.00,100.00,0.00;80.00,20.00,0.00
100.00,100.00,0.00;100.00,0.00,0.00
20.00,20.00,0.00;40.00,20.00,0.00
60.00,20.00,0.00;80.00,20.00,0.00
0.00,0.00,0.00;100.00,0.00,0.00
0.00,100.00,42.76;0.00,100.00,0.00
0.00,0.00,42.76;0.00,0.00,0.00
20.00,100.00,42.76;20.00,100.00,0.00
20.00,20.00,42.76;20.00,20.00,0.00
40.00,100.00,42.76;40.00,100.00,0.00
40.00,20.00,42.76;40.00,20.00,0.00
60.00,100.00,42.76;60.00,100.00,0.00
60.00,20.00,42.76;60.00,20.00,0.00
80.00,100.00,42.76;80.00,100.00,0.00
80.00,20.00,42.76;80.00,20.00,0.00
100.00,100.00,42.76;100.00,100.00,0.00
100.00,0.00,42.76;100.00,0.00,0.00
